(* ^ ω ^) happy
(o^▽^o) happy
ヽ(・∀・)ﾉ happy
(o･ω･o) happy
(^人^) happy
( ´ ω ` ) happy
(´• ω •`) happy
╰(▔∀▔)╯ happy
(✯◡✯) happy
(⌒‿⌒) happy
(*°▽°*) happy
(´｡• ᵕ •｡`) happy
ヽ(>∀<☆)ノ happy
＼(￣▽￣)／ happy
(o˘◡˘o) happy
(╯✧▽✧)╯ happy
( ‾́ ◡ ‾́ ) happy
(๑˘︶˘๑) happy
(´･ᴗ･ ` ) happy
(⁀ᗢ⁀) happy
( ˙▿˙ ) happy
(´ ∀ ` *) happy
(⌒▽⌒)☆ happy
(´｡• ω •｡`) happy
(＠＾◡＾) happy
(o´▽`o) happy
(((o(*°▽°*)o))) happy
(＾▽＾) happy
(─‿‿─) happy
(◕‿◕) happy
＼(≧▽≦)／ happy
٩(｡•́‿•̀｡)۶ happy
( ´ ▽ ` ) happy
o(≧▽≦)o happy
(*¯︶¯*) happy
\\(★ω★)/ happy
o(>ω<)o happy
(ﾉ´ヮ`)ﾉ*: ･ﾟ happy
( ˙꒳​˙ ) happy
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧ happy
(￢‿￢ ) happy
(¯▿¯) happy
٩(◕‿◕｡)۶ happy
<(￣︶￣)> happy
(￣ω￣) happy
ヽ(*・ω・)ﾉ happy
(*´▽`*) happy
(≧◡≦) happy
(⌒ω⌒) happy
(*^‿^*) happy
(*≧ω≦*) happy
ヽ(o＾▽＾o)ノ happy
(✧ω✧) happy
(￣▽￣) happy
(☆ω☆) happy
＼(＾▽＾)／ happy
\\(^ヮ^)/ happy
o( ❛ᴗ❛ )o happy
(b ᵔ▽ᵔ)b happy
(*꒦ິ꒳꒦ີ) happy
(„• ֊ •„) happy
(¬‿¬ ) happy
☆*:.｡.o(≧▽≦)o.｡.:*☆ happy
。.:☆*:･'(*⌒―⌒*))) happy
｀;:゛;｀;･(°ε° ) happy
(o_ _)ﾉ彡☆ happy
｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡ happy
(o´∀`o) happy
∑d(°∀°d) happy
ヽ(o^ ^o)ﾉ happy
(☆▽☆) happy
☆ ～('▽^人) happy
ヽ(*⌒▽⌒*)ﾉ happy
╰(*´︶`*)╯ happy
(っ˘ω˘ς ) happy
٩(◕‿◕)۶ happy
(〃＾▽＾〃) happy
｡ﾟ(TヮT)ﾟ｡ happy
(๑˃ᴗ˂)ﻭ happy
°˖✧◝(⁰▿⁰)◜✧˖° happy
(.❛ ᴗ ❛.) happy
(*￣▽￣)b happy
(＃`Д´) mad
(・`ω´・) mad
( `ε´ ) mad
(ﾒ` ﾛ ´) mad
Σ(▼□▼メ) mad
(҂ `з´ ) mad
٩(╬ʘ益ʘ╬)۶ mad
↑_(ΦwΦ)Ψ mad
(ﾉಥ益ಥ)ﾉ mad
(`皿´＃) mad
(`ー´) mad
(╬`益´) mad
(°ㅂ°╬) mad
(‡▼益▼) mad
(╬ Ò﹏Ó) mad
←~(Ψ▼ｰ▼)∈ mad
( ` ω ´ ) mad
ヽ(`⌒´メ)ノ mad
ヾ(`ヘ´)ﾉﾞ mad
＼＼٩(๑`^´๑)۶／／ mad
୧((#Φ益Φ#))୨ mad
ヽ( `д´*)ノ mad
ヽ(‵﹏´)ノ mad
(ノ°益°)ノ mad
((╬◣﹏◢)) mad
٩(ఠ益ఠ)۶" mad
m(_ _)m sorry
人(_ _*) sorry
(シ. .)シ sorry
